39.014362	30.000000	0.300479	0.300479
33.395687	33.000000	0.011991	0.156235
35.544937	33.000000	0.077119	0.129863
34.212463	22.000000	0.555112	0.236175
29.070229	24.000000	0.211260	0.231192
24.318071	30.000000	0.189398	0.224226
23.894228	31.000000	0.229218	0.224939
27.458675	30.000000	0.084711	0.207411
28.261909	20.000000	0.413095	0.230265
24.404522	24.000000	0.016855	0.208924
34.506016	38.000000	0.091947	0.198289
34.141117	38.000000	0.101550	0.190228
31.583414	34.000000	0.071076	0.181062
37.670509	26.000000	0.448866	0.200191
28.277962	25.000000	0.131118	0.195586
30.337318	31.000000	0.021377	0.184698
25.742126	20.000000	0.287106	0.190722
11.134670	14.000000	0.204666	0.191497
22.799860	14.000000	0.628561	0.214500
19.625334	8.000000	1.453167	0.276434
11.663326	3.000000	2.887775	0.400783
8.891772	15.000000	0.407215	0.401076
16.219692	11.000000	0.474517	0.404269
12.545399	5.000000	1.509080	0.450302
4.492380	4.000000	0.123095	0.437214
5.430986	3.000000	0.810329	0.451565
6.326821	3.000000	1.108940	0.475912
12.281845	2.000000	5.140923	0.642520
10.572568	5.000000	1.114514	0.658795
12.591618	8.000000	0.573952	0.655967
11.689266	9.000000	0.298807	0.644446
8.705487	11.000000	0.208592	0.630825
8.166730	11.000000	0.257570	0.619515
4.231256	6.000000	0.294791	0.609964
3.889881	5.000000	0.222024	0.598880
3.694946	5.000000	0.261011	0.589495
3.635263	4.000000	0.091184	0.576027
3.652775	3.000000	0.217592	0.566594
3.712378	1.000000	2.712378	0.621614
